ich i
zelle cell
erzählte told
vertrauen trust
bereit ready
weißen white
auf on
gesellschaften societies
messen measure
wer who
krankenhaus hospital
10.000 10,000
gesamte entire
größer bigger
entwickelt developed
tochter daughter
kollegen colleagues
bäume trees
büro office
präsident president
verkaufen sell
näher closer
freiheit freedom
verbindung connection
materie matter
farbe color
persönliche personal
richtung direction
gesetz law
geschrieben written
qualität quality
echte real
werkzeuge tools
erfunden invented
westen west
komplexe complex
ergebnis result
physik physics
infrastruktur infrastructure
unterschiede differences
studien studies
frieden peace
behandlung treatment
straße street
spricht talks
riesige huge
boden ground
bühne stage
entwickeln develop
fähigkeiten skills
bewusstsein consciousness
leute people
aktivität activity
dunkle dark
ärzte doctors
fisch fish
konferenz conference
bedeutung meaning
arzt doctor
intelligenz intelligence
objekte objects
westlichen western
schützen protect
beginnt starts
artikel article
atmosphäre atmosphere
folgen follow
modelle models
mathematik mathematics
antworten answers
durchschnittliche average
internationalen international
überleben survive
verantwortung responsibility
manchmal sometimes
wirtschaftlichen economic
beine legs
zwei two
menschheit humanity
spiele games
leisten afford
beziehungen relationships
straßen streets
getötet killed
moralische moral
schön beautiful
institutionen institutions
grünen green
verbringen spend
maschinen machines
schwester sister
gründe reasons
herauszufinden figure
führt leads
erkennen recognize
karriere career
organisationen organizations
osten east
klingt sounds
sauerstoff oxygen
inspiriert inspired
entwicklungsländern developing
risiko risk
afrikanischen african
generationen generations
herausforderungen challenges
starb died
größten largest
medizinische medical
sprachen languages
polizei police
wahl choice
entscheidung decision
erzählt tells
bildschirm screen
bedingungen conditions
quelle source
erstaunliche amazing
farben colors
phänomen phenomenon
perfekte perfect
gesetze laws
erwarten expect
fortschritt progress
langsam slowly
krankheiten diseases
entdeckt discovered
führen lead
bleiben stay
verbrachte spent
bewusst aware
selbst even
gelegenheit opportunity
führte led
nahe close
wuchs grew
identität identity
schmerz pain
geschäft business
verbessern improve
beweise evidence
gesprochen talked
nimmt takes
basiert based
100.000 100,000
jedes every
künstler artist
bruder brother
genetische genetic
babys babies
vergessen forget
treffen meet
chinesische chinese
einfluss impact
temperatur temperature
landwirtschaft agriculture
konzentrieren focus
unterstützung support
warten wait
bringt brings
möglichkeit possibility
ländlichen rural
vielfalt diversity
punkte dots
kulturelle cultural
druck pressure
geschaffen created
lebt lives
ecke corner
behandeln treat
bauern farmers
möglichen sorts
nationen nations
galaxie galaxy
jungen boys
indischen indian
erfahrungen experiences
stimmen voices
kommunikation communication
ansatz approach
insel island
perspektive perspective
erreichen reach
löcher holes
maus mouse
lebenden living
statistiken statistics
gefährlich dangerous
verantwortlich responsible
produktion production
nur just
verbinden connect
flugzeug airplane
brachte brought
erfolgreich successful
ständig constantly
fuß foot
kaffee coffee
schlimmer worse
einkommen income
gemeinden communities
sitzen sit
medikament drug
chemikalien chemicals
linien lines
sicht view
gewinnen win
brücke bridge
erklärt explains
größeren larger
werkzeug tool
möglichkeiten possibilities
landschaft landscape
affen monkeys
entdecken discover
fahren drive
bürger citizens
schaute looked
reaktion response
bezahlen pay
hilft helps
kurzen short
späten late
weiterhin continue
gefühle feelings
automatisch automatically
geheimnis secret
lektion lesson
erklärung explanation
eigenschaften properties
südafrika south
kalifornien california
mehrheit majority
aufregend exciting
verrückt crazy
netzwerke networks
prinzip principle
ihre their
chemische chemical
biologische biological
ziele goals
von from
wüste desert
fernsehen television
fehler mistake
sein his
kräfte forces
arabischen arab
verkauft sold
jahrzehnt decade
physischen physical
epidemie epidemic
nachbarn neighbors
verlust loss
geschwindigkeit speed
schauen look
bezug terms
fleisch meat
mexiko mexico
vorfahren ancestors
nachhaltige sustainable
könig king
märkte markets
fühlt feels
gelebt lived
kirche church
schuhe shoes
wahrnehmung perception
prinzipien principles
entdeckung discovery
sorgen worry
gekauft bought
haufen bunch
gelöst solved
bedrohung threat
pfund pounds
mikroben microbes
saß sitting
soldaten soldiers
wettbewerb competition
krank sick
waffen weapons
teilchen particles
chemie chemistry
gesund healthy
ohren ears
hintergrund background
privaten private
geburt birth
ausdruck expression
religionen religions
entworfen designed
überzeugen convince
verbindungen connections
kampagne campaign
politiker politicians
kapitel chapter
stuhl chair
ökosystem ecosystem
großmutter grandmother
entscheiden decide
fantastisch fantastic
garten garden
verstanden understood
starke strong
laufen walk
plastik plastic
fluss river
gerechtigkeit justice
vergleichen compare
grundlegende basic
besessen obsessed
kalten cold
armee army
gefängnis prison
zusammenarbeit collaboration
existenz existence
kulturen cultures
gestern yesterday
stand stood
bemerkenswerte remarkable
zähne teeth
verlassen leave
kindheit childhood
teuer expensive
gemeinsam common
jeder everybody
schließlich eventually
bibliothek library
blumen flowers
gespielt played
schlimmsten worst
jungs guys
heutigen today's
letzte final
diskussion discussion
plattform platform
kohlenstoff carbon
bezahlt paid
psychologie psychology
überrascht surprised
vertraut familiar
europäischen european
pferd horse
reichen rich
literatur literature
vorteil advantage
britischen british
schritte steps
forscher researchers
liebte loved
einfachheit simplicity
andere other
hassen hate
ägypten egypt
verhindern prevent
sammeln collect
präsentation presentation
einzelnen individual
glücklicher happier
gewebe tissue
opfer victims
völlig totally
sonnenlicht sunlight
brustkrebs breast
kompliziert complicated
leistung performance
strategie strategy
außergewöhnliche extraordinary
während while
geholfen helped
brasilien brazil
produziert produced
veröffentlicht published
hilfe aid
schwimmen swim
führer leaders
industriellen industrial
eingeladen invited
viertel quarter
lehren teach
verglichen compared
wurzeln roots
tragen wear
kümmern care
zeitung newspaper
jahrzehnten decades
mächtig powerful
künstliche artificial
wählen choose
wände walls
kontakt contact
existieren exist
zweck purpose
leider unfortunately
reduzieren reduce
religiösen religious
sind are
tanz dance
besondere special
teilt shares
vorstellungskraft imagination
dach roof
vorteile benefits
lächeln smile
lebenserwartung expectancy
seltsame strange
ökonomen economists
geschieht happening
erwachsene adults
klassenzimmer classroom
beschreibt describes
zucker sugar
arbeiter workers
berühmte famous
interaktion interaction
stattdessen instead
lichter lights
reisen travel
küste coast
ohne without
erwartungen expectations
schiff ship
vorstellung notion
schlafen sleep
abendessen dinner
drei three
überzeugt convinced
effizienz efficiency
akzeptieren accept
autismus autism
deutschland germany
proben samples
buchstaben letters
schutz protection
entdeckungen discoveries
geräte devices
globalisierung globalization
klinischen clinical
zerstörung destruction
häuser houses
frankreich france
zählen count
schweden sweden
dunkelheit darkness
elektroden electrodes
dezember december
australien australia
erinnerungen memories
nordamerika north
welten worlds
demokratische democratic
schaden damage
mittagessen lunch
erkannte realized
gleichung equation
abend tonight
begriff term
muskeln muscles
selten rarely
nehmen take
gebäuden buildings
ihr your
milch milk
trinken drink
meinung opinion
hitze heat
grenzen boundaries
terrorismus terrorism
definieren define
ändern changing
überraschung surprise
situationen situations
elektrische electrical
richtungen directions
schöne nice
zeichen sign
geburtstag birthday
afrikaner africans
sprach spoke
gelben yellow
nachhaltigkeit sustainability
ereignisse events
überraschende surprising
marke brand
anwendungen applications
theorien theories
titel title
zunehmend increasingly
konzepte concepts
abhängig depending
sinne senses
elektronische electronic
russland russia
flasche bottle
philosophie philosophy
umgeben surrounded
verbreiten spread
verletzlichkeit vulnerability
großvater grandfather
perfekt perfectly
bürgermeister mayor
ursprüngliche original
ernähren feed
chirurgen surgeons
techniken techniques
zog moved
infiziert infected
islamischen islamic
mathematischen mathematical
kapitalismus capitalism
berühren touch
technik technique
verteilung distribution
nummer number
du you're
ausstellung exhibition
nachbarschaft neighborhood
wohlbefinden well-being
technischen technical
tiefer deeper
kohle coal
liegt lies
effektiv effective
pflanze plant
satz sentence
frauen women
langsamer slow
unternehmen businesses
radikale radical
universitäten universities
setzte sat
unabhängige independent
küche kitchen
niemand nobody
persönlich personally
erwärmung warming
klinik clinic
analyse analysis
muslimischen muslim
begeistert excited
genetisch genetically
sozusagen sort
nachfrage demand
kindersterblichkeit mortality
weltweit worldwide
zentralen central
am at
sammlung collection
organismus organism
königin queen
chirurg surgeon
erdbeben earthquake
fasziniert fascinated
töchter daughters
zehntausende tens
verbrechen crime
funktionen functions
beteiligt involved
blinde blind
zeichnen draw
prozesse processes
beigebracht taught
wahrscheinlichkeit probability
emissionen emissions
auswirkungen effects
architekt architect
sowjetunion soviet
kalorien calories
bericht report
aspekte aspects
städtischen urban
aktivitäten activities
existiert exists
januar january
haben have
brüder brothers
inseln islands
elektrischen electric
kritische critical
sektor sector
wahlen elections
transparenz transparency
aufgaben tasks
skulptur sculpture
belohnung reward
weibliche female
immunsystem immune
japanischen japanese
fahrzeuge vehicles
anwenden apply
zerstören destroy
biosphäre biosphere
lasst let's
vorbereitet prepared
alten ancient
autorität authority
selektion selection
fällt falls
schlacht battle
ziehen pull
laden store
wasserstoff hydrogen
maßstab scale
produktivität productivity
stärker stronger
nervös nervous
ehe marriage
faszinierend fascinating
kollektiven collective
versuche trials
schwestern sisters
schulter shoulder
pazifik pacific
premierminister prime
gedächtnis memory
spielt plays
durchmesser diameter
diagramm diagram
tasche pocket
zerstört destroyed
magazin magazine
schreckliche terrible
meile mile
wächst grows
intellektuelle intellectual
schweizer swiss
seit since
persönlichkeit personality
verschwinden disappear
saubere clean
preise prices
französische french
fettleibigkeit obesity
besuchen visit
aktion action
vorhersagen predictions
finanziellen financial
scham shame
holz wood
stiftung foundation
typischen typical
beliebt popular
strahlung radiation
pocken smallpox
zug train
ausrüstung equipment
biologen biologists
zuhören listening
letztes last
schwanz tail
billiger cheaper
wichtiger importantly
stücke pieces
wohlstand wealth
nennt calls
geometrie geometry
ungleichheit inequality
rätsel puzzles
großeltern grandparents
analogie analogy
ausnahme exception
bis until
scheinbar seemingly
schlagzeilen headlines
wissen do
dienstleistungen services
drucken print
treibhausgase greenhouse
blätter leaves
kühe cows
genießen enjoy
erfinder inventor
lieder songs
kämpfen fighting
unterhaltung entertainment
schwierigkeiten trouble
spezifische specific
sozial socially
übergang transition
zeitraum period
februar february
versuch trial
systematisch systematically
tropfen drop
zusätzliche extra
ehemann husband
ohr ear
anwälte lawyers
verlangen desire
rauch smoke
türkei turkey
erfinden invent
wolke cloud
selbstverständlich granted
erlebt experienced
ernährung diet
versprechen promise
identifizieren identify
schwieriger harder
glaubte believed
prozentsatz percentage
klassische classic
stärke strength
eingeführt introduced
ungewöhnliche unusual
vielen thanks
gemessen measured
musikalische musical
fertig finished
innerhalb within
langweilig boring
gemüse vegetables
werfen throw
krankenhäuser hospitals
physiker physicist
elektronen electrons
impfstoff vaccine
innovationen innovations
langfristige long-term
schafft creates
algorithmus algorithm
mikroskop microscope
fast almost
übersetzt translated
krähen crows
evolutionären evolutionary
gemälde painting
erschaffen creating
rhythmus rhythm
lektionen lessons
quadratmeter square
liebt loves
wohnung apartment
repräsentieren represent
wahrheiten truths
gefüllt filled
erreicht achieved
kohlendioxid dioxide
riesigen giant
blume flower
männliche male
gemeinsame shared
vorsichtig careful
konzentriert focused
gleichzeitig simultaneously
methoden methods
dramatisch dramatically
konflikte conflicts
fangen catch
vergleich comparison
gottes god's
gegensatz opposed
offenheit openness
dreidimensionalen three-dimensional
führung leadership
zusätzlich addition
geruch smell
romantische romantic
architektonische architectural
pläne plans
dichte density
organische organic
täglichen daily
benannt named
umgehen deal
definiert defined
tiefe depth
lehrerin teacher
verschmutzung pollution
direktor director
studiert studied
entfernung distance
unfall accident
fähig capable
diagnostiziert diagnosed
stabilität stability
rezession recession
aktuellen current
schmerzhaft painful
spiegel mirror
schafe sheep
lachen laugh
musiker musicians
annahmen assumptions
beeinflusst influenced
schlagen beat
führenden leading
spanien spain
atomenergie nuclear
anstieg increase
brach broke
fasern fibers
heben raise
neugier curiosity
spieler player
repräsentiert represents
politisch politically
zeitungen newspapers
schädel skull
psychologische psychological
beeinflussen affect
werbung advertising
bitte please
vergnügen pleasure
auflösung resolution
stift pen
schokolade chocolate
schreibtisch desk
geschlossen closed
bruchteil fraction
prototyp prototype
direkte direct
offensichtliche obvious
wachsenden growing
vorschlag proposal
stehe standing
traditionen traditions
russischen russian
beschreibung description
nachmittag afternoon
erwähnt mentioned
deutsche german
schuld blame
erneuerbare renewable
gründer founder
schwerkraft gravity
ursprünglich originally
unsicherheit uncertainty
teilweise partly
kapazität capacity
dörfer villages
springen jump
optimistisch optimistic
muskel muscle
klavier piano
kosmischen cosmic
oberflächen surfaces
männchen males
erlaubnis permission
psychologen psychologists
wörterbuch dictionary
sätze sentences
versagen failure
fressen eat
ökosysteme ecosystems
letztendlich ultimately
etwas something
schichten layers
wissens knowledge
verbindet connects
erklärte explained
unerwartete unexpected
verstecken hide
gewöhnliche ordinary
wertvoll valuable
ebenen levels
mechanische mechanical
ökologie ecology
jugend youth
nichts nothing
supermarkt supermarket
zivilisationen civilizations
würden would
schlau smart
elektronik electronics
pandemie pandemic
einheit unit
zunächst first
frühling spring
ausgesetzt exposed
abenteuer adventure
beweis proof
anpassen adapt
wieder again
getrennt separated
austausch exchange
bomben bombs
norden northern
künste arts
übersetzung translation
technologische technological
vaters father's
märz march
gespräche conversations
verdienen deserve
kolonien colonies
fünf five
mechanismus mechanism
gleichungen equations
obwohl although
begrenzt limited
höhe height
hindernisse obstacles
wissenschaftlich scientifically
mathematiker mathematician
bürgerkrieg civil
bedeutete meant
organisiert organized
der it
gefangen caught
versionen versions
erwartet expected
umständen circumstances
flüssigkeit liquid
mobilität mobility
verkehr traffic
ausgaben spending
historischen historical
prioritäten priorities
richter judge
kreise circles
rennen race
überwinden overcome
waffe gun
fahrzeug vehicle
scheitern fail
drahtlose wireless
eingebettet embedded
beschäftigt busy
geschützt protected
löwen lions
spielte playing
umgebungen environments
reicher richer
mädchen girl
praktische practical
nährstoffe nutrients
demokraten democrats
kommerzielle commercial
neugierig curious
seltene rare
blieb stayed
lohnt worth
huhn chicken
könnten could
sklaverei slavery
nervenzelle neuron
treibstoff fuel
verdoppeln double
währung currency
hausaufgaben homework
abhängigkeit dependence
flügel wings
eindruck impression
wiegt weighs
glaube belief
verbesserung improvement
unterrichten teaching
jahrhunderten centuries
synthetische synthetic
indien india
kleidung clothes
seide silk
müll garbage
fotografiert photographed
fahrer driver
einstellung attitude
zelt tent
trinkwasser drinking
reaktionen reactions
dramatische dramatic
fahrrad bicycle
brücken bridges
bleibt remains
interaktive interactive
schweine pigs
richtig right
sogenannten so-called
durch through
köpfe heads
glaubt believes
meinungen opinions
glühbirne bulb
zeichnungen drawings
flughafen airport
sicheren safe
guten good
vergewaltigt raped
durchbruch breakthrough
tanzen dancing
im basically
mutationen mutations
handlungen actions
truppen troops
verheiratet married
treppe staircase
symmetrien symmetries
arktischen arctic
bestimmen determine
schnellsten fastest
honig honey
ersetzt replaced
fiel fell
parteien parties
beobachten watch
verteidigung defense
wahrnehmen perceive
milchstraße milky
erwachsenen adult
physisch physically
erzählung narrative
freiwilligen volunteers
anweisungen instructions
gebrochen broken
kombinieren combine
angepasst adapted
authentizität authenticity
ruf reputation
sitz seat
störungen disorders
einheiten units
nadeln needles
transformieren transform
berührt touched
unendliche infinite
künstlern artists
vielzahl variety
mahlzeit meal
schwanger pregnant
prostatakrebs prostate
prototypen prototypes
flüsse rivers
ausgebildet trained
partnerschaft partnership
autoren authors
südlichen southern
aktivisten activists
gesammelt collected
christen christians
verteilt distributed
unfälle accidents
kontrolliert controls
kategorien categories
reduziert reduced
heilen cure
vertikale vertical
akzeptanz acceptance
wochenende weekend
gewinn profit
minderheit minority
äthiopien ethiopia
beide both
republikaner republicans
läuft running
gedichte poems
freitag friday
passt fits
ökologischen ecological
liebsten favorite
trage wearing
kamen coming
unabhängigkeit independence
decke ceiling
halluzinationen hallucinations
unendlich infinitely
suppe soup
disziplin discipline
vorherigen previous
zweifel doubt
königreich kingdom
tendenz tendency
zugrunde underlying
entwickelten evolved
kurze quick
investiert invested
impfstoffe vaccines
erfindungen inventions
übertragung transmission
anwalt lawyer
pfad path
waschmaschine washing
anatomie anatomy
visualisierung visualization
grönland greenland
verdoppelt doubled
hilfreich helpful
möbel furniture
spannung tension
visionen visions
rückenmark spinal
klassischen classical
variationen variations
gegründet founded
kamel camel
verliert loses
geschlecht gender
schweiz switzerland
zeichnung drawing
parkplatz parking
ansichten views
schlägt suggests
neuseeland zealand
inspirierend inspiring
verfolgen track
wurzel root
intensität intensity
toleranz tolerance
münze coin
zweitens secondly
dynamische dynamic
unbekannte unknown
fingern fingers
landschaften landscapes
gelegenheiten opportunities
statistisch statistically
schwache weak
eigentlich actually
verhaltensweisen behaviors
isoliert isolated
hungrig hungry
neurowissenschaft neuroscience
erwähnen mention
lügen lie
wütend angry
berechnen calculate
stirbt dies
salz salt
folien slides
angestellten employees
frustriert frustrated
nehme suppose
besitzer owner
regelmäßig regularly
lernt learning
druckerpresse printing
messungen measurements
ethischen ethical
flaschen bottles
auszudrücken express
büros offices
beobachtungen observations
fremde strangers
geworfen thrown
unterscheidung distinction
durchfall diarrhea
handgelenk wrist
galerien galleries
wohltätigkeit charity
bedrohungen threats
höhepunkt peak
schnelle fast
vermächtnis legacy
hilflos helpless
verbesserungen improvements
atheisten atheists
lächerlich ridiculous
disziplinen disciplines
300.000 300,000
überlebt survived
pilz mushroom
schrecklich awful
krankenschwester nurse
krankenschwestern nurses
besorgt worried
tötet kills
macher makers
kliniken clinics
glühbirnen bulbs
künstlerischen artistic
gesundheitssystem healthcare
irland ireland
taschen pockets
privatsphäre privacy
insekt insect
geformt shaped
gehören belong
mischung mixture
ausländische foreign
einfachste simplest
sicherer safer
mitarbeiter staff
besteht consists
fließen flow
grundlegend fundamentally
neu reinventing
täuschung deception
durchgeführt conducted
rauchen smoking
sieg victory
sturm storm
dynamik dynamics
anwendung application
gegessen eaten
sechs six
moralisch morally
stamm tribe
überqueren cross
biologisch biologically
schnitt cut
mahlzeiten meals
schätzung estimate
dächer roofs
stehlen steal
spielzeug toy
glamourös glamorous
noten notes
flach flat
bären bears
wäre wouldn't
hüfte hip
infektionen infections
intimität intimacy
überwachen monitor
drittel two-thirds
absichten intentions
weitergegeben passed
schuldig guilty
verschwindet disappears
museen museums
hoffe hoping
abgelegenen remote
handvoll handful
ausgestorben extinct
angesehen considered
wird will
liefern deliver
jährliche annual
zehntel tenth
ursprünge origins
iranischen iranian
fortschritte advances
erzählungen narratives
überraschend surprisingly
humanitären humanitarian
bedecken cover
angriff attack
metern meters
landwirtschaftlichen agricultural
bausteine blocks
einführung introduction
thunfisch tuna
nigerianischen nigerian
angriffe attacks
vertrag contract
partnerschaften partnerships
übertragen transmit
hält holding
kugel sphere
teilchenphysik particle
demonstrieren demonstrate
schultern shoulders
überwältigt overwhelmed
körpern bodies
dumme stupid
fuhr drove
sendet sends
identisch identical
strategische strategic
akademischen academic
blutgefässe vessels
berechnungen calculations
quantenmechanik quantum
gewachsen grown
notaufnahme emergency
perspektiven perspectives
hoffnungen hopes
ethnische ethnic
bosnien bosnia
rezeptor receptor
fruchtfliegen flies
zustimmen agree
existierte existed
grundschule elementary
käfer beetle
mysterium mystery
bauchspeicheldrüsenkrebs pancreatic
getroffen hit
gleichheit equality
protozelle protocell
urheberrecht copyright
weibchen females
zieht pulls
kategorie category
besucht visited
erfordert requires
kinder kids
weltweiten world's
ökonom economist
begegnung encounter
institutionelle institutional
finanziert funded
pilze mushrooms
höhle cave
beinhaltet includes
insgesamt total
erweiterung extension
zufälligen random
technisch technically
kreislauf cycle
gestohlen stolen
anwesenheit presence
gefragt wondered
kambodscha cambodia
erneuerbaren renewables
konzert concert
beitragen contribute
verletzungen injuries
frische fresh
wussten did
abwesenheit absence
rechtfertigen justify
klüger smarter
gericht dish
verhaftet arrested
ungefähr about
verhältnis ratio
banken banks
infektion infection
riecht smells
integrität integrity
angetrieben driven
verbessert improved
heimatstadt hometown
interaktionen interactions
erhielt received
ecken corners
teppich carpet
verletzt hurt
skulpturen sculptures
aussterben extinction
übung exercise
heilige holy
primaten primates
gesprochene spoken
gestartet launched
schulden debt
tempel temple
gewählt elected
beeindruckt impressed
optische optical
öffentlich publicly
behandlungen treatments
heiraten marry
schalter switch
stärken strengths
existierenden existing
erkenntnis insight
spielzeuge toys
herunterladen download
interessanterweise interestingly
fehlende missing
voraussagen predict
wärmer warmer
griechischen greek
überzeugungen beliefs
kapitän captain
aufgezeichnet recorded
drucker printer
erforschung exploration
belohnungen rewards
offiziellen official
bevorzugen prefer
chronischen chronic
libellen dragonflies
bergsteiger climbers
stellen provide
tageslicht daylight
wann whenever
testen testing
abschluss degree
eigentum property
berichte reports
weihnachten christmas
steuern taxes
lauter louder
katholischen catholic
großzügigkeit generosity
deprimiert depressed
gipfel summit
gletscher glaciers
archiv archive
entwerfen designing
ladung charge
plötzlich suddenly
typischerweise typically
müde tired
alltag everyday
lebens lifetime
geteilt divided
wellenlänge wavelength
darstellung representation
angeboten offered
kuchen cake
offiziell officially
implikationen implications
kreatur creature
koralle coral
ungerechtigkeit injustice
schießen shoot
spuren traces
heiligen sacred
hügel hill
kulturell culturally
suchen searching
dominierende dominant
analysiert analyzed
philosophische philosophical
produzenten producers
einladen invite
erlaubte allowed
schwein pig
spektakuläre spectacular
gefahren dangers
versagt failed
karikatur cartoon
historische historic
kriterien criteria
junge boy
konzentration concentration
vergewaltigung rape
verurteilt convicted
beleuchtung lighting
begraben buried
hörte listened
komplette complete
aufgehört stopped
erkenntnisse insights
verfügbarkeit availability
hindernis obstacle
versteht understands
mücke mosquito
interessanterweise interestingly
baumwolle cotton
erzeugt generates
philosoph philosopher
östlichen eastern
langlebigkeit longevity
äquivalent equivalent
tiefgreifende profound
ultraschall ultrasound
elektromagnetische electromagnetic
entwicklungen developments
konnektivität connectivity
freundschaft friendship
fliegende flying
ausnahmen exceptions
flüchtlinge refugees
einnahmen revenue
einladung invitation
höhlen caves
diskussionen discussions
berechnung computation
sprung leap
könige kings
stimme voice
absicht intent
todesstrafe penalty
zuzuhören listen
kontrollierte controlled
papiere papers
schwelle threshold
positionen positions
netze nets
tasmanischen tasmanian
anerkennung recognition
zugeben admit
fragen ask
kindersitze seats
multinationalen multinational
verbreitung prevalence
raketen rockets
verben verbs
pferde horses
gehör hearing
freundin girlfriend
arbeitslosigkeit unemployment
wirtschaftlich economically
hochzeit wedding
60ern 60s
konferenzen conferences
spreche speak
mich i'm
kunst art
lücken gaps
urlaub vacation
antikörper antibodies
niedrigsten lowest
verluste losses
teller plate
webseiten websites
teilnehmen participate
faszinierende intriguing
merkmale features
schockiert shocked
erstaunt amazed
schaltkreis circuit
trotz despite
naturschutz conservation
trennung separation
ideologie ideology
besessenheit obsession
wiederholen repeat
weizen wheat
akzeptiert accepted
selbstvertrauen confidence
beitrag contribution
grauen gray
kindes child's
historiker historian
klinisch clinically
lehrplan curriculum
nächste next
außerordentlich extraordinarily
frühstück breakfast
nachbar neighbor
versuchen try
freundes friend's
versuchung temptation
stickstoff nitrogen
mitleid pity
wichtige major
reichsten richest
würfel cube
bauer farmer
revolutionen revolutions
verbrannt burned
erschaffung creation
produktiv productive
kreide chalk
israelische israeli
trug wore
verletzlich vulnerable
kandidaten candidates
beute prey
fischer fishermen
leidenschaftlichen passionate
studieren studying
wahrscheinlich probably
visuell visually
unabhängig independently
kauft buys
befreiung liberation
mücken mosquitos
behinderung disability
rückgang decline
züge trains
klettern climb
vordergrund foreground
idealismus idealism
einstellungen attitudes
bau construction
mittleren middle-aged
verletzung injury
fotografen photographers
christliche christian
erklärungen explanations
veröffentlichen publish
hell bright
betriebssystem operating
mechanisch mechanically
eisen iron
wähler voters
gemeinnützige nonprofit
verfassung constitution
flughäfen airports
jahrestag anniversary
verzweifelt desperately
verschwörung conspiracy
reduktion reduction
leidenschaften passions
verschwand disappeared
schauspieler actor
anzug suit
norden-bombenzielgerät bombsight
kilogramm kilogram
aßen ate
schütteln shake
geschafft managed
umweltprobleme environmental
sollte should
gewinnt wins
beobachtung observation
gefroren frozen
ägypter egyptians
lebensstil lifestyle
zweig branch
getreide grain
sonntag sunday
anzeichen signs
pestizide pesticides
identifiziert identified
verteidigen defend
korrekt correct
fremden stranger
akademie academy
frösche frogs
historisch historically
konfrontiert confronted
statistische statistical
integriert integrated
objektive objective
musik music
haushalte households
cyberkriminellen cybercriminals
hühner chickens
fossilien fossils
schwierige tough
programmierer programmers
geschichten stories
erfolge successes
neue new
dominiert dominated
vorhersage prediction
trockenen dry
kombiniert combined
schwellenländern emerging
ruhig quiet
sitzt sits
umgewandelt transformed
spielplatz playground
aufzeichnungen records
wünsche wishes
stühle chairs
glücklichste happiest
bestimmt determined
wohlhabenden wealthy
benutzer user
selbstmord suicide
therapien therapies
dargestellt represented
bogen bow
haushalt household
nanotechnologie nanotechnology
industrien industries
verhandeln negotiate
mehreren multiple
brasilianischen brazilian
schätzungen estimates
wohnungen apartments
statistik statistic
attraktiv attractive
röhre tube
großteil most
schlug proposed
sensorische sensory
urteil judgment
geliebten beloved
turm tower
loswerden rid
schadstoffe pollutants
frühesten earliest
systematische systematic
konventionelle conventional
rahmen frame
aminosäuren amino
nachbarschaften neighborhoods
wiegen weigh
physiologie physiology
vermitteln convey
zeitgenössische contemporary
replizieren replicate
magische magical
priorität priority
geduld patience
malte painted
menschen humans
baut builds
dynamisch dynamically
überlebenden survivors
erweitern expand
aufnahmen footage
allgegenwärtig ubiquitous
behörden authorities
maler painter
blindheit blindness
